symbol,date,rows,predictor_count,label_count,first_decision_time_ns,last_decision_time_ns,primary_label_nulls,mean_spot_trades_1s,mean_perpetual_trades_1s,mean_log_basis,std_log_basis,std_target_spot_return_5s
ETHUSDT,2025-02-09,86395,157,6,1739059205000000000,1739145599000000000,4,10.751293477631807,14.722113548237745,-0.0004675704260317473,0.0000833632889729003,0.00026501789129057264
BTCUSDT,2025-02-10,86395,157,6,1739145605000000000,1739231999000000000,4,14.031772672029632,13.732056253255397,-0.00040562067190463234,0.00007630243329873518,0.00014847599634851405
ETHUSDT,2025-02-10,86399,157,6,1739145601000000000,1739231999000000000,4,12.04824129908911,16.660273845762102,-0.0004572959369421028,0.00009254050945755056,0.0002543660689756277
BTCUSDT,2025-02-11,86395,157,6,1739232005000000000,1739318399000000000,4,13.075999768505122,12.646993460269691,-0.00046749295621874293,0.00008917295006233129,0.00013186410181427233
ETHUSDT,2025-02-11,86395,157,6,1739232005000000000,1739318399000000000,4,11.8132993807512,17.878361016262517,-0.0004625153053152434,0.0000864408473704394,0.0002608064752501912
BTCUSDT,2025-02-12,86395,157,6,1739318405000000000,1739404799000000000,4,18.305388043289543,18.317726720296314,-0.00042094870764919134,0.00010004423760058267,0.00018973801172041796
ETHUSDT,2025-02-12,86395,157,6,1739318405000000000,1739404799000000000,4,19.649632501880895,23.316372475258984,-0.00042982934813179315,0.00009569699152164304,0.00034862460741204006
BTCUSDT,2025-02-13,86395,157,6,1739404805000000000,1739491199000000000,4,13.974558712888477,13.568493547080271,-0.00045992299525785376,0.00007228978814750298,0.00014978709581514536
ETHUSDT,2025-02-13,86399,157,6,1739404801000000000,1739491199000000000,4,13.497135383511383,17.540353476313385,-0.0004517030210837707,0.00010372118477443079,0.00025195807548980054
BTCUSDT,2025-02-14,86395,157,6,1739491205000000000,1739577599000000000,4,12.724984084727126,12.173632733375774,-0.00043859772594928434,0.00007614949815015202,0.00013318781562007717
ETHUSDT,2025-02-14,86399,157,6,1739491201000000000,1739577599000000000,4,10.53558490260304,15.478246275998565,-0.0004318522214171824,0.00008019062043017592,0.0002214958086531998
BTCUSDT,2025-02-15,86395,157,6,1739577605000000000,1739663999000000000,4,6.634099195555298,5.2238323977082,-0.00045110128873039097,0.00006432462102376242,0.0000700270601975315
ETHUSDT,2025-02-15,86395,157,6,1739577605000000000,1739663999000000000,4,6.036437293824874,8.318421204930841,-0.0004682585152709998,0.00007144319347400205,0.00014752435488011884
BTCUSDT,2025-02-16,86395,157,6,1739664005000000000,1739750399000000000,4,6.605231784246773,5.365322067249262,-0.00044982673860722525,0.00006580666750112425,0.00007177747205905698
ETHUSDT,2025-02-16,86395,157,6,1739664005000000000,1739750399000000000,4,5.803634469587361,8.572660454887435,-0.00046197632223615064,0.00007655998337475261,0.00015077883040148275
BTCUSDT,2025-02-17,86399,157,6,1739750401000000000,1739836799000000000,4,10.949339691431614,9.368094538131228,-0.0004343438089139363,0.0000730882205647841,0.0001106799967806447
ETHUSDT,2025-02-17,86398,157,6,1739750402000000000,1739836799000000000,4,15.532558624042224,21.842438482372277,-0.000430733607967585,0.00008966126673430861,0.00026352921849854513
BTCUSDT,2025-02-18,86395,157,6,1739836805000000000,1739923199000000000,4,15.539290468198391,14.883696973204469,-0.000418449426197096,0.0000821164073093727,0.00015321380931202308
ETHUSDT,2025-02-18,86395,157,6,1739836805000000000,1739923199000000000,4,14.6933503096244,21.11815498582094,-0.00047374852265229733,0.00008744969050482558,0.00026443898059328255
BTCUSDT,2025-02-19,86395,157,6,1739923205000000000,1740009599000000000,4,11.368238902714278,10.89909138260316,-0.00043100509259880393,0.00008039659894336925,0.00011783718698666484
ETHUSDT,2025-02-19,86399,157,6,1739923201000000000,1740009599000000000,4,9.574254331647357,14.54245998217572,-0.00046543916979339104,0.00007832088278648308,0.0001901877737913268
BTCUSDT,2025-02-20,86395,157,6,1740009605000000000,1740095999000000000,4,11.56323861334568,10.685444759534695,-0.000454723750195499,0.00007167089353584411,0.0001050742728226906
ETHUSDT,2025-02-20,86395,157,6,1740009605000000000,1740095999000000000,4,8.735366630013312,12.953353782047571,-0.000444857201300066,0.0000773917877054974,0.000173327535292573
