fold,task,model,scope,decile,observations,mean_prediction,mean_actual
2,regression,linear,baseline,6,43195,2.082182832208912e-6,2.5432496844972756e-6
2,regression,linear,baseline,7,43195,7.325651219930282e-6,9.998650495642447e-6
2,regression,linear,baseline,8,43195,0.00001365893578389657,0.000018848071443788402
2,regression,linear,baseline,9,43195,0.000020048056612045376,0.00003104039624833418
2,regression,linear,baseline,10,43195,0.00004370058660071635,0.00004871642039243769
2,regression,linear,expanded,1,43196,-0.000047855298554626586,-0.000057806174743026515
2,regression,linear,expanded,2,43195,-0.00002167778275302704,-0.00003950679930093716
2,regression,linear,expanded,3,43195,-0.000010855559134698538,-0.000022553811816618228
2,regression,linear,expanded,4,43195,-2.691135450867483e-6,-0.000013088372910702439
2,regression,linear,expanded,5,43195,4.626987309715604e-6,-3.859474380877868e-6
2,regression,linear,expanded,6,43195,0.000011964409210157427,5.227186313069836e-6
2,regression,linear,expanded,7,43195,0.000020004391541669807,0.000017158756616002185
2,regression,linear,expanded,8,43195,0.000029634320338276604,0.00002688654805125621
2,regression,linear,expanded,9,43195,0.00004324023546386022,0.00003879107043829145
2,regression,linear,expanded,10,43195,0.00007779623478219007,0.000055827642595130284
2,regression,ridge,baseline,1,43196,-0.000037700004602517614,-0.00004851583401989409
2,regression,ridge,baseline,2,43195,-0.0000180463984399784,-0.000027156564254297114
2,regression,ridge,baseline,3,43195,-0.0000129118534886457,-0.000016686796614525513
2,regression,ridge,baseline,4,43195,-7.4175868707748945e-6,-9.619883695780567e-6
2,regression,ridge,baseline,5,43195,-2.172019438380102e-6,-2.091353897691779e-6
2,regression,ridge,baseline,6,43195,2.0821824754533128e-6,2.5432496844972756e-6
2,regression,ridge,baseline,7,43195,7.325648572709003e-6,9.998650495642447e-6
2,regression,ridge,baseline,8,43195,0.000013658930271592804,0.000018848071443788402
2,regression,ridge,baseline,9,43195,0.00002004804832572971,0.00003104039624833418
2,regression,ridge,baseline,10,43195,0.000043700569595428785,0.00004871642039243769
2,regression,ridge,expanded,1,43196,-0.00004785363624357096,-0.00005782027707414299
2,regression,ridge,expanded,2,43195,-0.000021677571574711412,-0.0000395079529383703
2,regression,ridge,expanded,3,43195,-0.00001085546512582944,-0.000022534607268374927
2,regression,ridge,expanded,4,43195,-2.691081812400977e-6,-0.000013091057858579776
2,regression,ridge,expanded,5,43195,4.627039249328829e-6,-3.861102964746251e-6
2,regression,ridge,expanded,6,43195,0.000011964457983263639,5.23004232388771e-6
2,regression,ridge,expanded,7,43195,0.00002000443577127129,0.000017156265883716983
2,regression,ridge,expanded,8,43195,0.000029634362081377415,0.00002688843640689842
2,regression,ridge,expanded,9,43195,0.00004324029692945941,0.00003880018112130728
2,regression,ridge,expanded,10,43195,0.00007779645272629477,0.000055816643556472255
2,classification,logistic,baseline,1,43196,0.30089130471010683,0.33160477822020556
2,classification,logistic,baseline,2,43195,0.325867854147261,0.34374348882972566
2,classification,logistic,baseline,3,43195,0.3457614711338599,0.3746035420766292
2,classification,logistic,baseline,4,43195,0.3673752524598952,0.40615812015279545
2,classification,logistic,baseline,5,43195,0.3898311324196073,0.43109156152332445
2,classification,logistic,baseline,6,43195,0.41119324712104466,0.4520662113670564
2,classification,logistic,baseline,7,43195,0.4356169413212694,0.48269475633753905
2,classification,logistic,baseline,8,43195,0.46474807826929754,0.4983447158235907
2,classification,logistic,baseline,9,43195,0.5072396023485771,0.504734344252807
2,classification,logistic,baseline,10,43195,0.6462021093056874,0.521796504225026
2,classification,logistic,expanded,1,43196,0.25619465665608127,0.2605102324289286
2,classification,logistic,expanded,2,43195,0.3177960789257144,0.32098622525755294
2,classification,logistic,expanded,3,43195,0.35905968296365876,0.3602037272832504
2,classification,logistic,expanded,4,43195,0.39692970951373474,0.39222132191225834
2,classification,logistic,expanded,5,43195,0.4348725048259727,0.4316008797314504
2,classification,logistic,expanded,6,43195,0.47502786587648416,0.4677393216807501
2,classification,logistic,expanded,7,43195,0.5191134880996217,0.5012385692788517
2,classification,logistic,expanded,8,43195,0.5705309999556094,0.5288343558282208
2,classification,logistic,expanded,9,43195,0.6374168688117361,0.541196897789096
2,classification,logistic,expanded,10,43195,0.7717635650920114,0.5423081375159162
3,regression,linear,baseline,1,43196,-0.00003300413332677689,-0.00003760795914247108
3,regression,linear,baseline,2,43195,-0.000016865167852515435,-0.00001679958088158478
3,regression,linear,baseline,3,43195,-0.000012253980637872649,-9.864603738450447e-6
3,regression,linear,baseline,4,43195,-6.6779983179140426e-6,-5.683181319402248e-6
3,regression,linear,baseline,5,43195,-1.4915272040492275e-6,-1.0160734761679861e-6
3,regression,linear,baseline,6,43195,3.0082580244922014e-6,5.394061849589977e-7
3,regression,linear,baseline,7,43195,7.745201706383443e-6,6.1450491349490845e-6
3,regression,linear,baseline,8,43195,0.000013505738494907415,0.000010817453530805322
3,regression,linear,baseline,9,43195,0.00001891006906394947,0.000017265623607700128
3,regression,linear,baseline,10,43195,0.00003600054632032921,0.00003225414080459284
3,regression,linear,expanded,1,43196,-0.00005083361472850743,-0.000051815332945143296
3,regression,linear,expanded,2,43195,-0.000024949895276594797,-0.00003195178014341912
3,regression,linear,expanded,3,43195,-0.000015687793172212464,-0.00001865571156767728
3,regression,linear,expanded,4,43195,-8.686891765524009e-6,-0.000010072319983713269
3,regression,linear,expanded,5,43195,-2.4655946123865775e-6,-4.2378889265656736e-6
