entity,latency_ms,roundtrip_cost_bps,sizing,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
ETHUSDT,500,20.0,fixed,185838,6.346479111139041,371.67600000000016,-365.32952088886105,0.5801046110873843,371676.0,-155.75560811968592,-155.75560811968592,-1.0,0.0024376069479869564,0.001208772394227907,-0.0019736067901040878,5.394057017181631,0.3415059950676955,0.06501357727394469
combined,500,20.0,fixed,442,0.007977414617219293,0.42961918707735397,-0.4216417724601347,0.0006509753508110357,429.61918707735396,-732.4428473981573,-732.4428473981573,-0.4216417724601347,0.0,0.0,-0.0009539406616745128,5.253817117647058,0.3713714311266522,0.051852468040405844
BTCUSDT,1000,0.0,fixed,137960,4.465634775142904,0.0,4.465634775142904,0.4210124552719907,275920.0,72.82861900318028,0.0,0.0,0.5362568860539286,0.00014484559889101444,-0.00014960822255761708,5.273336638953319,0.3236905461831621,0.07600615552888064
ETHUSDT,1000,0.0,fixed,172951,4.484276367072027,0.0,4.484276367072027,0.5398957247210648,345902.0,77.50337422465434,0.0,0.0,0.5225815404363086,0.00024340960210507046,-0.00024926817539935316,5.394243527461535,0.25928016415470434,0.0788028707321028
combined,1000,0.0,fixed,310911,4.471561481956661,0.0,4.471561481956661,0.4588089206041526,298169.3227948145,99.59566914666071,0.0,0.0,0.5286496778820948,0.00008702302073328649,-0.00008774870163620428,5.340593723052578,0.2999343755449832,0.07689784133615497
BTCUSDT,1000,2.0,fixed,137960,4.465634775142904,27.592000000000002,-23.1263652248571,0.4210124552719907,275920.0,-72.47891364335118,-72.47891364335118,-1.0,0.1301101768628588,0.00017473118830371644,-0.00021883834726196824,5.273336638953319,0.3236905461831621,0.07960553916477398
ETHUSDT,1000,2.0,fixed,172951,4.484276367072027,34.590199999999996,-30.105923632927976,0.5398957247210648,345902.0,-139.60885730478023,-139.60885730478023,-1.0,0.21328006198287378,0.00027174441813702086,-0.00029493297260662824,5.394243527461535,0.25928016415470434,0.06505780588839802
combined,1000,2.0,fixed,4967,0.07388327400291733,0.47656297192287267,-0.4026796979199554,0.007360281154281312,4765.6297192287275,-3255.7085677968967,-3255.7085677968967,-0.4026796979199554,0.1834105093617878,0.00008513375470307896,-0.00011840151589113913,5.365492508153816,0.3100672035211105,0.050769643802841595
BTCUSDT,1000,5.0,fixed,137960,4.465634775142904,68.98,-64.5143652248571,0.4210124552719907,275920.0,-74.78401791411731,-74.78401791411731,-1.0,0.02118730066685996,0.0002595861478237296,-0.00048337222787047903,5.273336638953319,0.3236905461831621,0.07573021536548878
ETHUSDT,1000,5.0,fixed,172951,4.484276367072027,86.47550000000003,-81.991223632928,0.5398957247210648,345902.0,-169.7564796347106,-169.7564796347106,-1.0,0.059779937670207166,0.00037564160235897245,-0.000528097447665101,5.394243527461535,0.25928016415470434,0.06249724188460647
combined,1000,5.0,fixed,1738,0.013412117788500886,0.4190239838466925,-0.4056118660581916,0.002563468910279839,1676.0959353867697,-1831.085864950024,-1831.085864950024,-0.40561186605819155,0.04487917146144994,0.00008975528839912333,-0.0002485619147911586,5.320521962025317,0.16003997748978438,0.051468250283677665
BTCUSDT,1000,7.0,fixed,137960,4.465634775142904,96.57199999999999,-92.10636522485709,0.4210124552719907,275920.0,-75.13714832949584,-75.13714832949584,-1.0,0.00821252536967237,0.0003426119294368195,-0.0006759962912357137,5.273336638953319,0.3236905461831621,0.07508152944439415
ETHUSDT,1000,7.0,fixed,172951,4.484276367072027,121.0657,-116.581423632928,0.5398957247210648,345902.0,-175.91969623834245,-175.91969623834245,-1.0,0.029754092199524722,0.0004695740266856552,-0.0007091436582596011,5.394243527461535,0.25928016415470434,0.06205641611120772
combined,1000,7.0,fixed,1231,0.0076348454728293914,0.41644820143851025,-0.40881335596568086,0.0018199712944605806,1189.8520041100294,-1493.6830851586196,-1493.6830851586196,-0.4088133559656808,0.01380991064175467,0.00010939785564077103,-0.0003382809880655469,5.317539030869212,0.12833269089696592,0.051255759236552643
BTCUSDT,1000,10.0,fixed,137960,4.465634775142904,137.96,-133.49436522485712,0.4210124552719907,275920.0,-75.38640297725198,-75.38640297725198,-1.0,0.0030806030733545957,0.00041390439928269847,-0.0009719000588544899,5.273336638953319,0.3236905461831621,0.07461128981638551
ETHUSDT,1000,10.0,fixed,172951,4.484276367072027,172.95100000000005,-168.466723632928,0.5398957247210648,345902.0,-180.6109988806159,-180.6109988806159,-1.0,0.012529560395719019,0.0006471070450497469,-0.000994642382187739,5.394243527461535,0.25928016415470434,0.061734597263629384
combined,1000,10.0,fixed,863,0.009863452130830381,0.41966539941217657,-0.4098019472813462,0.0012799990061333258,839.3307988243532,-1160.3918899273683,-1160.3918899273683,-0.4098019472813462,0.005793742757821553,0.00010514658395770475,-0.0004782373895118121,5.29167347161066,0.2350313403165015,0.05187170662956381
BTCUSDT,1000,20.0,fixed,137960,4.465634775142904,275.92,-271.45436522485716,0.4210124552719907,275920.0,-75.66120567099289,-75.66120567099289,-1.0,0.00029718759060597274,0.0006542787181954276,-0.0019684103760345068,5.273336638953319,0.3236905461831621,0.07407943783106578
ETHUSDT,1000,20.0,fixed,172951,4.484276367072027,345.9020000000001,-341.4177236329281,0.5398957247210648,345902.0,-186.14699808438885,-186.14699808438885,-1.0,0.00206416846390018,0.0013630920185407874,-0.0019809747006474566,5.394243527461535,0.25928016415470434,0.06136830013642921
combined,1000,20.0,fixed,438,0.004378557270200423,0.42853231952974125,-0.4241537622595409,0.0006510329420174678,428.53231952974124,-713.5299922515541,-713.5299922515541,-0.4241537622595408,0.0,0.0,-0.0009683875850674449,5.2726349954337906,0.20435132057275504,0.05263836167185475
BTCUSDT,2000,0.0,fixed,126329,2.9609228083097046,0.0,2.9609228083097046,0.3856630276765046,252658.0,81.65193787393164,0.0,0.0,0.5049038621377514,0.00014126714635247486,-0.00014796411619225533,5.2753185082205984,0.2343818765532621,0.0733713295373218
ETHUSDT,2000,0.0,fixed,156936,2.4118305044849118,0.0,2.4118305044849118,0.49028919335243054,313872.0,44.771875412045965,0.0,-0.0025616913660831964,0.5007837589845542,0.0002403691031360605,-0.0002477451692837997,5.398504652297752,0.15368242496845286,0.08765683605311558
combined,2000,0.0,fixed,283265,2.7863503194990655,0.0,2.7863503194990655,0.41892674310200567,272119.7193787227,89.17226474531645,0.0,0.0,0.5026212204119818,0.00008535071798243952,-0.00008720003494581816,5.343566758823011,0.2047885633470878,0.07737085032082469
BTCUSDT,2000,2.0,fixed,126329,2.9609228083097046,25.26580000000001,-22.304877191690302,0.3856630276765046,252658.0,-75.17686587960111,-75.17686587960111,-1.0,0.11777184969405283,0.00017912118091232206,-0.00022404323084856866,5.2753185082205984,0.2343818765532621,0.0764372563441426
ETHUSDT,2000,2.0,fixed,156936,2.4118305044849118,31.38720000000001,-28.97536949551509,0.49028919335243054,313872.0,-154.23120090011426,-154.23120090011426,-1.0,0.2002727226385278,0.0002736763981134078,-0.00029940416146016525,5.398504652297752,0.15368242496845286,0.06495896344762364
combined,2000,2.0,fixed,4657,0.045612411684858224,0.44760216463954383,-0.40198975295468564,0.006923830141143037,4476.021646395438,-4079.377570515988,-4079.377570515988,-0.40198975295468553,0.16770453081382863,0.00008146679573558948,-0.00012012779164710552,5.379072460167491,0.20380782439508582,0.05057446518251489
BTCUSDT,2000,5.0,fixed,126329,2.9609228083097046,63.164500000000025,-60.20357719169032,0.3856630276765046,252658.0,-78.52976531618512,-78.52976531618512,-1.0,0.019916250425476335,0.00026825456601872494,-0.0004916972020691966,5.2753185082205984,0.2343818765532621,0.0734810757430616
ETHUSDT,2000,5.0,fixed,156936,2.4118305044849118,78.46800000000002,-76.0561694955151,0.49028919335243054,313872.0,-186.78204821365173,-186.78204821365173,-1.0,0.057125197532752206,0.00037212952364628005,-0.0005365396643599354,5.398504652297752,0.15368242496845286,0.061801823561699734
combined,2000,5.0,fixed,1739,0.015042658971874056,0.41991123157065213,-0.4048685725987782,0.0025630499959243005,1679.6449262826086,-1981.5798426562355,-1981.5798426562355,-0.4048685725987782,0.04312823461759632,0.00008603577849113854,-0.00024718825479904657,5.312437913743531,0.17911713048979322,0.05133434676410801
BTCUSDT,2000,7.0,fixed,126329,2.9609228083097046,88.43029999999999,-85.46937719169028,0.3856630276765046,252658.0,-79.10862794636172,-79.10862794636172,-1.0,0.007994997189877225,0.00034617601338134254,-0.0006848044986411114,5.2753185082205984,0.2343818765532621,0.07296676096795265
ETHUSDT,2000,7.0,fixed,156936,2.4118305044849118,109.8552,-107.44336949551509,0.49028919335243054,313872.0,-193.7801409301015,-193.7801409301015,-1.0,0.028508436560126423,0.0004591332479330962,-0.0007181955611678172,5.398504652297752,0.15368242496845286,0.06123421109029145
combined,2000,7.0,fixed,1234,0.012943372442305413,0.4173707518937183,-0.4044273794514129,0.0018177501516831195,1192.4878625534811,-2045.8546471840616,-2045.8546471840616,-0.40442737945141294,0.019448946515397084,0.0001168863799983666,-0.00033655591121601133,5.302849147487844,0.21708183116580648,0.051224287179155226
BTCUSDT,2000,10.0,fixed,126329,2.9609228083097046,126.32900000000005,-123.36807719169036,0.3856630276765046,252658.0,-79.53072238750792,-79.53072238750792,-1.0,0.0028655336462728273,0.00045316662503402624,-0.0009806705209297092,5.2753185082205984,0.2343818765532621,0.07259028283071153
ETHUSDT,2000,10.0,fixed,156936,2.4118305044849118,156.93600000000004,-154.5241694955151,0.49028919335243054,313872.0,-199.19495643090082,-199.19495643090082,-1.0,0.011953917520517918,0.0006200438044027903,-0.0010040459929870679,5.398504652297752,0.15368242496845286,0.0608151462558956
combined,2000,10.0,fixed,871,0.012017729623905071,0.4218446916294345,-0.4098269620055295,0.001282214302579366,843.6893832588689,-1066.426698038804,-1066.426698038804,-0.4098269620055295,0.010332950631458095,0.00008892140463274407,-0.00047636572464875194,5.278457532721011,0.284885168934683,0.052037667642040215
BTCUSDT,2000,20.0,fixed,126329,2.9609228083097046,252.6580000000001,-249.69707719169043,0.3856630276765046,252658.0,-80.01032796953331,-80.01032796953331,-1.0,0.00030871771327248694,0.0007504063554416929,-0.001977403935699997,5.2753185082205984,0.2343818765532621,0.07216073098762522
ETHUSDT,2000,20.0,fixed,156936,2.4118305044849118,313.87200000000007,-311.4601694955152,0.49028919335243054,313872.0,-205.68715565811988,-205.68715565811988,-1.0,0.0019307233521945251,0.0012489837937909015,-0.001990887051802837,5.398504652297752,0.15368242496845286,0.060333268290381305
combined,2000,20.0,fixed,438,0.00782322420089469,0.4285323195297413,-0.4207090953288466,0.0006490410744934385,428.53231952974124,-612.3498550532191,-612.3498550532191,-0.4207090953288466,0.0,0.0,-0.0009605230486959968,5.262803025114155,0.3651171145961484,0.05234630293517651
BTCUSDT,5000,0.0,fixed,101720,1.175734952755869,0.0,1.175734952755869,0.3108067939253472,203440.0,46.07378282974504,0.0,-0.01764799711225551,0.46368462445930003,0.00013437734329932322,-0.00014362881368037425,5.2799266604699175,0.11558542594925963,0.0736136348925608
ETHUSDT,5000,0.0,fixed,123479,0.755803169503194,0.0,0.755803169503194,0.38605689905555557,246958.0,23.006748824630584,38.004405477811524,-0.02602139508732937,0.4784376290705302,0.00023621136075386564,-0.00024182585910137281,5.402589278889528,0.061209045222523184,0.12745627723897238
combined,5000,0.0,fixed,225199,1.0422263677284218,0.0,1.0422263677284218,0.3347310012841785,217275.64387106308,74.90844470095534,0.0,0.0,0.4717738533474838,0.00008244860198561981,-0.00008525397641490228,5.347183875021647,0.09593586737654825,0.07164167039182559
BTCUSDT,5000,2.0,fixed,101720,1.175734952755869,20.344000000000005,-19.168265047244134,0.3108067939253472,203440.0,-86.65155134500364,-86.65155134500364,-1.0,0.10250688163586315,0.00017766434483492793,-0.0002302561113211082,5.2799266604699175,0.11558542594925963,0.07301496234688465
ETHUSDT,5000,2.0,fixed,123479,0.755803169503194,24.69580000000001,-23.939996830496813,0.38605689905555557,246958.0,-232.89852350717234,-232.89852350717234,-1.0,0.18679289595801715,0.0002747197628386584,-0.00030151580616617665,5.402589278889528,0.061209045222523184,0.05861888819636297
