date,model,scope,oos_r2,mse,mae,pearson_ic,rank_ic
2025-02-11,xgboost,expanded,0.06126410557616824,1.6323917814056308e-8,0.00007213143815818566,0.2502707500760277,0.3072708257608228
2025-02-12,xgboost,expanded,0.03413364792309814,3.4772451075815395e-8,0.00009624129220296949,0.18628231081086322,0.279386078878822
2025-02-13,xgboost,expanded,0.04849917248210256,2.134856333829007e-8,0.00008555207531467325,0.22214644291381275,0.29180679735834064
2025-02-14,xgboost,expanded,0.0520806652275263,1.6815056938873262e-8,0.00007302481159543686,0.23010807002275913,0.2751823391972199
2025-02-15,xgboost,expanded,0.0579979143564604,4.619338715251766e-9,0.00003361749972589486,0.24560746376479614,0.2601048871132615
2025-02-16,xgboost,expanded,0.0657574307448292,4.814137822745336e-9,0.00003238341826335536,0.2564947838432726,0.23367703137712265
2025-02-17,xgboost,expanded,0.06030421555712262,1.15113141733187e-8,0.00005896825970234457,0.24714350237654592,0.27683211882398073
2025-02-18,xgboost,expanded,0.04079292184118921,2.25166652325452e-8,0.0000889323473945811,0.20333961225624647,0.25232269417631814
2025-02-19,xgboost,expanded,0.05172784975842848,1.3167349891593347e-8,0.00006374756121626252,0.22820577781013385,0.26564756199240686
2025-02-20,xgboost,expanded,0.04737367942550563,1.0518102514145296e-8,0.000056016830260805684,0.21992782340400602,0.2511296906786032
