fold,date,task,model,scope,oos_r2,mse,mae,pearson_ic,rank_ic,roc_auc,pr_auc,brier,accuracy,class_balance
4,2025-01-30,regression,training_mean,reference,0.0,2.0550774059514517e-8,0.00007758155467937863,-2.7098039637897155e-16,0.0,,,,,
4,2025-01-31,regression,training_mean,reference,0.0,2.3253826966464035e-8,0.00008316601817123567,-4.6614172950370005e-17,0.0,,,,,
4,2025-01-27,regression,zero_return,reference,1.574838701001724e-6,8.861721733265044e-8,0.00020274363962819301,0.0,0.0,,,,,
4,2025-01-28,regression,zero_return,reference,5.4516950809269105e-6,3.626365145850695e-8,0.00011414297565879757,0.0,0.0,,,,,
4,2025-01-29,regression,zero_return,reference,-0.000011379851076132041,4.216490918006523e-8,0.00010830598553046323,0.0,0.0,,,,,
4,2025-01-30,regression,zero_return,reference,-8.192894850767019e-6,2.0550942429844936e-8,0.00007751903284867047,0.0,0.0,,,,,
4,2025-01-31,regression,zero_return,reference,0.000022699328377950856,2.3253299120210012e-8,0.00008310307539327453,0.0,0.0,,,,,
4,2025-01-27,regression,linear,baseline,0.0006317529694435109,8.856137261233356e-8,0.00020379936452117806,0.04699357352228001,0.06417516629148673,,,,,
4,2025-01-28,regression,linear,baseline,0.009998803778497156,3.59012540459716e-8,0.00011609548115731277,0.1002098403533841,0.13717150879947324,,,,,
4,2025-01-29,regression,linear,baseline,0.0047707278150395105,4.196327433920858e-8,0.00011145713859062445,0.07383675957094889,0.1236528897044673,,,,,
4,2025-01-30,regression,linear,baseline,0.009790055521420093,2.0349580840463153e-8,0.00008123653067026186,0.10148338914691941,0.13365581412685656,,,,,
4,2025-01-31,regression,linear,baseline,0.014271260191280555,2.2921965551382904e-8,0.00008639126509286187,0.12002234247459023,0.15620842856410747,,,,,
4,2025-01-27,regression,linear,expanded,0.010359244419098745,8.76993480308884e-8,0.00020265001634382703,0.10231567844434562,0.1320150183377687,,,,,
4,2025-01-28,regression,linear,expanded,0.03045041027088824,3.515960007309362e-8,0.00011525039538136711,0.17603261594144293,0.2394682557228669,,,,,
4,2025-01-29,regression,linear,expanded,0.01661141440781977,4.146401854585103e-8,0.00011140885620488065,0.129508584562064,0.21195398143161165,,,,,
4,2025-01-30,regression,linear,expanded,0.03206782313133627,1.9891755471761407e-8,0.00008138450606744044,0.17996597552899468,0.24374230478156944,,,,,
4,2025-01-31,regression,linear,expanded,0.034835764574574934,2.2443762124802694e-8,0.0000865212999337601,0.187218437019263,0.25498147968056323,,,,,
4,2025-01-27,regression,ridge,baseline,0.0006317548717772459,8.856137244375382e-8,0.00020379936401473852,0.046993572156935476,0.06417518747981357,,,,,
4,2025-01-28,regression,ridge,baseline,0.009998803424493996,3.590125405880911e-8,0.0001160954804619533,0.1002098369313501,0.13717150322618446,,,,,
4,2025-01-29,regression,ridge,baseline,0.0047707298970652845,4.196327425142116e-8,0.00011145713749290609,0.07383676213358172,0.1236528718131824,,,,,
4,2025-01-30,regression,ridge,baseline,0.009790056047007556,2.0349580829661895e-8,0.00008123652942718001,0.10148338563567404,0.13365581790831002,,,,,
4,2025-01-31,regression,ridge,baseline,0.014271260366552574,2.2921965547307153e-8,0.00008639126402012136,0.12002234386717991,0.1562084437111131,,,,,
4,2025-01-27,regression,ridge,expanded,0.010359197352237892,8.769935220182923e-8,0.00020265001717314295,0.1023154476959162,0.13201478048661164,,,,,
4,2025-01-28,regression,ridge,expanded,0.030451308610335404,3.5159567495847465e-8,0.00011525029461342976,0.17603603260806822,0.23946817100249693,,,,,
4,2025-01-29,regression,ridge,expanded,0.016611408892013402,4.146401877842183e-8,0.00011140886276626933,0.12950855898861277,0.21195394075148105,,,,,
4,2025-01-30,regression,ridge,expanded,0.032067889999431,1.9891754097570276e-8,0.00008138447341345327,0.1799661804468493,0.24374180292559305,,,,,
4,2025-01-31,regression,ridge,expanded,0.03483572615857178,2.2443763018121793e-8,0.00008652130729536517,0.18721833086333103,0.254981608696652,,,,,
4,2025-01-27,classification,logistic,baseline,,,,,,0.5412778411610975,0.5008483186881515,0.25186171714726463,0.5306762669877063,0.4728891255527516
4,2025-01-28,classification,logistic,baseline,,,,,,0.5811343166837167,0.49554885531667553,0.24119075695232897,0.5773469151522167,0.4281051047574951
4,2025-01-29,classification,logistic,baseline,,,,,,0.5882354813257912,0.4738968063370127,0.23541282701327165,0.601840490797546,0.40170158583169346
4,2025-01-30,classification,logistic,baseline,,,,,,0.5930678490711391,0.4674963973962071,0.2316314660314893,0.6159277694177567,0.3869776594513254
4,2025-01-31,classification,logistic,baseline,,,,,,0.5973197001727316,0.46821247030857205,0.23091141835397894,0.6178482551073557,0.38510330458938596
4,2025-01-27,classification,logistic,expanded,,,,,,0.5847822881687218,0.536439060247186,0.24820822410564078,0.5532146412613155,0.4728891255527516
4,2025-01-28,classification,logistic,expanded,,,,,,0.6359640633691701,0.5441994509095843,0.23338220229991727,0.604734344252807,0.4281051047574951
4,2025-01-29,classification,logistic,expanded,,,,,,0.6321537941555238,0.516298587030813,0.22858936159426105,0.6221900682949415,0.40170158583169346
4,2025-01-30,classification,logistic,expanded,,,,,,0.6389289041523336,0.517063695334022,0.22433954486053753,0.6370413242273412,0.3869776594513254
4,2025-01-31,classification,logistic,expanded,,,,,,0.6462062094291161,0.5171690775991853,0.2229264574867615,0.6403148330343191,0.38510330458938596
